its,load_time(us),get_time(us)
1152,3355,26,13
1153,3650,49,27
1154,3334,26,13
1155,3330,54,13
1156,3741,62,16
1157,3341,28,14
1158,3532,51,16
1159,3526,52,15
1160,3334,26,14
1161,3487,35,11
1162,4583,66,18
1163,4686,26,13
1164,4633,111,19
1165,4587,42,12
1166,4583,39,20
1167,4603,38,12
1168,4583,85,17
1169,4551,50,14
1170,4450,131,19
1171,4508,36,18
1172,4579,75,19
1173,4535,64,17
1174,4609,36,18
1175,4541,88,17
1176,4636,72,19
1177,4538,36,18
1178,4701,79,18
1179,4503,63,19
1180,4749,43,18
1181,4565,70,18
1182,4682,71,20
1183,4521,36,18
1184,4667,79,18
1185,4632,70,19
1186,4751,35,17
1187,4512,71,21
1188,4699,76,17
1189,4505,35,17
1190,4804,77,18
1191,4618,35,18
1192,4659,78,20
1193,4538,69,18
1194,4626,36,19
1195,3583,52,15
1196,3512,51,15
1197,3332,29,14
1198,3333,57,24
1199,3551,55,15
1200,3369,25,15
1201,3332,32,21
1202,3591,52,15
1203,3337,26,14
1204,3500,50,15
1205,3336,44,15
1206,3330,24,14
1207,3502,53,16
1208,3332,25,14
1209,3377,35,15
1210,3498,51,12
1211,3333,26,14
1212,3672,52,14
1213,3333,46,15
1214,3365,25,15
1215,3586,53,15
1216,3333,47,14
1217,3384,38,14
1218,3510,54,15
1219,3361,48,14
1220,3491,27,14
1221,3333,51,16
1222,3334,48,15
1223,3530,30,15
1224,3331,52,14
1225,3389,31,11
1226,3436,25,16
1227,3325,49,14
1228,3506,28,16
1229,3334,49,13
1230,3331,48,14
1231,3493,31,16
1232,3335,56,16
1233,3431,31,12
1234,3431,27,14
1235,3324,46,15
1236,3489,50,14
1237,3334,27,14
1238,3370,48,13
1239,3491,55,14
1240,3333,26,14
1241,3462,36,13
1242,3502,50,16
1243,3325,25,15
1244,3651,70,16
1245,3348,31,13
1246,3334,54,15
1247,3544,63,15
1248,3334,27,16
1249,3403,33,12
1250,3444,53,14
1251,3332,25,15
1252,3530,52,16
1253,3328,48,15
1254,3333,24,14
1255,3496,54,15
1256,3332,45,14
1257,3486,21,11
1258,3431,54,15
1259,3332,46,14
1260,3488,37,14
1261,3361,50,14
1262,3329,24,14
1263,3538,52,16
1264,3335,46,14
1265,3501,25,12
1266,3376,57,20
1267,3367,46,14
1268,3493,28,15
1269,3328,46,15
1270,3333,46,15
1271,3575,32,14
1272,3334,48,14
1273,3582,40,12
1274,3345,28,14
1275,3332,48,13
1276,3528,51,16
1277,3326,27,15
1278,3334,46,14
1279,3494,52,14
1280,3370,25,13
1281,3481,34,12
1282,3336,26,14
1283,3333,51,14
1284,3511,52,14
1285,3300,25,14
1286,3270,43,13
1287,3689,54,14
1288,3303,23,13
1289,3594,31,26
1290,3597,47,15
1291,3346,25,15
1292,3733,55,14
1293,3333,44,16
1294,4534,36,12
1295,4740,120,19
1296,4614,74,13
1297,4638,79,17
1298,4658,48,14
1299,4830,40,19
1300,4582,61,13
1301,4722,85,22
1302,4543,37,20
1303,4731,84,20
1304,4512,86,31
1305,4663,40,19
1306,4501,72,18
1307,4667,74,19
1308,4562,33,20
1309,4526,81,17
1310,4634,64,17
1311,4588,41,19
1312,4580,76,20
1313,4515,72,18
1314,4579,36,21
1315,3592,59,15
1316,3334,55,15
1317,3537,26,14
1318,3328,58,13
1319,3330,26,14
1320,3510,59,15
1321,3334,54,15
1322,3344,26,15
1323,3512,58,15
1324,3358,57,28
1325,3529,27,13
1326,3326,51,14
1327,3332,48,14
1328,3515,29,14
1329,3334,54,13
1330,3332,48,14
1331,3501,30,14
1332,3331,51,14
1333,3499,47,12
1334,3326,26,15
1335,3331,51,15
1336,3493,26,14
1337,3347,55,14
1338,3330,48,16
1339,3621,29,15
1340,3331,53,14
1341,3489,41,13
1342,3327,28,16
1343,3334,51,15
1344,3491,50,14
1345,3333,25,15
1346,3330,47,15
1347,3682,53,14
1348,3333,25,14
1349,3638,37,12
1350,3332,50,13
1351,3340,26,15
1352,3495,52,14
1353,3333,48,14
1354,3338,26,14
1355,3501,53,15
1356,3330,25,13
1357,3525,43,14
1358,3335,49,14
1359,3326,25,15
1360,3625,53,15
1361,3333,48,15
1362,3331,26,14
1363,3495,54,16
1364,3332,48,14
1365,3505,25,13
1366,3334,52,15
1367,3327,50,14
1368,3493,27,15
1369,3333,51,15
1370,3332,48,14
1371,3535,28,15
1372,4000,61,15
1373,3805,37,14
1374,3336,65,13
1375,3338,56,17
1376,3663,33,13
1377,3327,56,14
1378,3337,49,12
1379,3614,29,15
1380,3334,55,14
1381,3491,50,15
1382,3333,27,14
1383,3331,50,15
1384,3537,54,13
1385,3328,27,14
1386,3325,49,14
1387,3563,52,14
1388,3331,24,13
1389,3557,51,16
1390,3334,24,15
1391,3332,53,14
1392,3537,50,15
1393,3345,25,16
1394,3328,51,14
1395,3522,54,14
1396,3334,25,15
1397,3553,50,15
1398,3335,44,14
